series_id,country_code,country_iso2,country_iso3,country_name_zh,country_name_en,indicator_code,indicator_name_zh,indicator_name_en,date,frequency,unit,seasonal_adjustment,calculation,value,source_organization,source_dataset,source_indicator_code,source_indicator_name,source_url,last_updated,status,retrieved_at,data_version
CN.CN_PPI_YOY_M.NBS,CN,CN,CHN,中国,China,CN_PPI_YOY_M,中国工业生产者出厂价格指数同比,China PPI YoY,2024-05,M,%,NSA,YoY,-1.4,National Bureau of Statistics of China,National Bureau of Statistics monthly data,NBS.PPI.YOY.M,China PPI YoY,https://www.stats.gov.cn/,2024-06-12,official,2026-06-22 16:46:48,2024-06-12
CN.CN_PPI_YOY_M.NBS,CN,CN,CHN,中国,China,CN_PPI_YOY_M,中国工业生产者出厂价格指数同比,China PPI YoY,2024-06,M,%,NSA,YoY,-0.8,National Bureau of Statistics of China,National Bureau of Statistics monthly data,NBS.PPI.YOY.M,China PPI YoY,https://www.stats.gov.cn/,2024-07-10,official,2026-06-22 16:46:48,2024-07-10
CN.CN_PPI_YOY_M.NBS,CN,CN,CHN,中国,China,CN_PPI_YOY_M,中国工业生产者出厂价格指数同比,China PPI YoY,2024-07,M,%,NSA,YoY,-0.8,National Bureau of Statistics of China,National Bureau of Statistics monthly data,NBS.PPI.YOY.M,China PPI YoY,https://www.stats.gov.cn/,2024-08-09,official,2026-06-22 16:46:48,2024-08-09
CN.CN_PPI_YOY_M.NBS,CN,CN,CHN,中国,China,CN_PPI_YOY_M,中国工业生产者出厂价格指数同比,China PPI YoY,2024-08,M,%,NSA,YoY,-1.8,National Bureau of Statistics of China,National Bureau of Statistics monthly data,NBS.PPI.YOY.M,China PPI YoY,https://www.stats.gov.cn/,2024-09-09,official,2026-06-22 16:46:48,2024-09-09
CN.CN_PPI_YOY_M.NBS,CN,CN,CHN,中国,China,CN_PPI_YOY_M,中国工业生产者出厂价格指数同比,China PPI YoY,2024-09,M,%,NSA,YoY,-2.8,National Bureau of Statistics of China,National Bureau of Statistics monthly data,NBS.PPI.YOY.M,China PPI YoY,https://www.stats.gov.cn/,2024-10-13,official,2026-06-22 16:46:48,2024-10-13
CN.CN_PPI_YOY_M.NBS,CN,CN,CHN,中国,China,CN_PPI_YOY_M,中国工业生产者出厂价格指数同比,China PPI YoY,2024-10,M,%,NSA,YoY,-2.9,National Bureau of Statistics of China,National Bureau of Statistics monthly data,NBS.PPI.YOY.M,China PPI YoY,https://www.stats.gov.cn/,2024-11-09,official,2026-06-22 16:46:48,2024-11-09
CN.CN_PPI_YOY_M.NBS,CN,CN,CHN,中国,China,CN_PPI_YOY_M,中国工业生产者出厂价格指数同比,China PPI YoY,2024-11,M,%,NSA,YoY,-2.5,National Bureau of Statistics of China,National Bureau of Statistics monthly data,NBS.PPI.YOY.M,China PPI YoY,https://www.stats.gov.cn/,2024-12-09,official,2026-06-22 16:46:48,2024-12-09
CN.CN_PPI_YOY_M.NBS,CN,CN,CHN,中国,China,CN_PPI_YOY_M,中国工业生产者出厂价格指数同比,China PPI YoY,2024-12,M,%,NSA,YoY,-2.3,National Bureau of Statistics of China,National Bureau of Statistics monthly data,NBS.PPI.YOY.M,China PPI YoY,https://www.stats.gov.cn/,2025-01-09,official,2026-06-22 16:46:48,2025-01-09
CN.CN_INDUSTRIAL_VALUE_ADDED_YOY_M.NBS,CN,CN,CHN,中国,China,CN_INDUSTRIAL_VALUE_ADDED_YOY_M,中国规模以上工业增加值同比,China industrial value added YoY,2024-02,M,%,NSA,YoY,7.0,National Bureau of Statistics of China,National Bureau of Statistics monthly data,NBS.IVA.YOY.M,China industrial value added YoY,https://www.stats.gov.cn/,2024-03-18,official,2026-06-22 16:46:48,2024-03-18
CN.CN_INDUSTRIAL_VALUE_ADDED_YOY_M.NBS,CN,CN,CHN,中国,China,CN_INDUSTRIAL_VALUE_ADDED_YOY_M,中国规模以上工业增加值同比,China industrial value added YoY,2024-03,M,%,NSA,YoY,4.5,National Bureau of Statistics of China,National Bureau of Statistics monthly data,NBS.IVA.YOY.M,China industrial value added YoY,https://www.stats.gov.cn/,2024-04-16,official,2026-06-22 16:46:48,2024-04-16
CN.CN_INDUSTRIAL_VALUE_ADDED_YOY_M.NBS,CN,CN,CHN,中国,China,CN_INDUSTRIAL_VALUE_ADDED_YOY_M,中国规模以上工业增加值同比,China industrial value added YoY,2024-04,M,%,NSA,YoY,6.7,National Bureau of Statistics of China,National Bureau of Statistics monthly data,NBS.IVA.YOY.M,China industrial value added YoY,https://www.stats.gov.cn/,2024-05-17,official,2026-06-22 16:46:48,2024-05-17
CN.CN_INDUSTRIAL_VALUE_ADDED_YOY_M.NBS,CN,CN,CHN,中国,China,CN_INDUSTRIAL_VALUE_ADDED_YOY_M,中国规模以上工业增加值同比,China industrial value added YoY,2024-05,M,%,NSA,YoY,5.6,National Bureau of Statistics of China,National Bureau of Statistics monthly data,NBS.IVA.YOY.M,China industrial value added YoY,https://www.stats.gov.cn/,2024-06-17,official,2026-06-22 16:46:48,2024-06-17
CN.CN_INDUSTRIAL_VALUE_ADDED_YOY_M.NBS,CN,CN,CHN,中国,China,CN_INDUSTRIAL_VALUE_ADDED_YOY_M,中国规模以上工业增加值同比,China industrial value added YoY,2024-06,M,%,NSA,YoY,5.3,National Bureau of Statistics of China,National Bureau of Statistics monthly data,NBS.IVA.YOY.M,China industrial value added YoY,https://www.stats.gov.cn/,2024-07-15,official,2026-06-22 16:46:48,2024-07-15
CN.CN_INDUSTRIAL_VALUE_ADDED_YOY_M.NBS,CN,CN,CHN,中国,China,CN_INDUSTRIAL_VALUE_ADDED_YOY_M,中国规模以上工业增加值同比,China industrial value added YoY,2024-07,M,%,NSA,YoY,5.1,National Bureau of Statistics of China,National Bureau of Statistics monthly data,NBS.IVA.YOY.M,China industrial value added YoY,https://www.stats.gov.cn/,2024-08-15,official,2026-06-22 16:46:48,2024-08-15
CN.CN_INDUSTRIAL_VALUE_ADDED_YOY_M.NBS,CN,CN,CHN,中国,China,CN_INDUSTRIAL_VALUE_ADDED_YOY_M,中国规模以上工业增加值同比,China industrial value added YoY,2024-08,M,%,NSA,YoY,4.5,National Bureau of Statistics of China,National Bureau of Statistics monthly data,NBS.IVA.YOY.M,China industrial value added YoY,https://www.stats.gov.cn/,2024-09-14,official,2026-06-22 16:46:48,2024-09-14
CN.CN_INDUSTRIAL_VALUE_ADDED_YOY_M.NBS,CN,CN,CHN,中国,China,CN_INDUSTRIAL_VALUE_ADDED_YOY_M,中国规模以上工业增加值同比,China industrial value added YoY,2024-09,M,%,NSA,YoY,5.4,National Bureau of Statistics of China,National Bureau of Statistics monthly data,NBS.IVA.YOY.M,China industrial value added YoY,https://www.stats.gov.cn/,2024-10-18,official,2026-06-22 16:46:48,2024-10-18
CN.CN_INDUSTRIAL_VALUE_ADDED_YOY_M.NBS,CN,CN,CHN,中国,China,CN_INDUSTRIAL_VALUE_ADDED_YOY_M,中国规模以上工业增加值同比,China industrial value added YoY,2024-10,M,%,NSA,YoY,5.3,National Bureau of Statistics of China,National Bureau of Statistics monthly data,NBS.IVA.YOY.M,China industrial value added YoY,https://www.stats.gov.cn/,2024-11-15,official,2026-06-22 16:46:48,2024-11-15
CN.CN_INDUSTRIAL_VALUE_ADDED_YOY_M.NBS,CN,CN,CHN,中国,China,CN_INDUSTRIAL_VALUE_ADDED_YOY_M,中国规模以上工业增加值同比,China industrial value added YoY,2024-11,M,%,NSA,YoY,5.4,National Bureau of Statistics of China,National Bureau of Statistics monthly data,NBS.IVA.YOY.M,China industrial value added YoY,https://www.stats.gov.cn/,2024-12-16,official,2026-06-22 16:46:48,2024-12-16
CN.CN_INDUSTRIAL_VALUE_ADDED_YOY_M.NBS,CN,CN,CHN,中国,China,CN_INDUSTRIAL_VALUE_ADDED_YOY_M,中国规模以上工业增加值同比,China industrial value added YoY,2024-12,M,%,NSA,YoY,6.2,National Bureau of Statistics of China,National Bureau of Statistics monthly data,NBS.IVA.YOY.M,China industrial value added YoY,https://www.stats.gov.cn/,2025-01-17,official,2026-06-22 16:46:48,2025-01-17
